,num,Nombre,fecha,equipo,tit
0,1,Dean Henderson,6-Agosto-2022,Nott'ham Forest,1
1,4,Joe Worrall,6-Agosto-2022,Nott'ham Forest,1
2,7,Neco Williams,6-Agosto-2022,Nott'ham Forest,1
3,8,Jack Colback,6-Agosto-2022,Nott'ham Forest,1
4,11,Jesse Lingard,6-Agosto-2022,Nott'ham Forest,1
5,14,Lewis O'Brien,6-Agosto-2022,Nott'ham Forest,1
6,15,Harry Toffolo,6-Agosto-2022,Nott'ham Forest,1
7,16,Sam Surridge,6-Agosto-2022,Nott'ham Forest,1
8,19,Moussa Niakhate,6-Agosto-2022,Nott'ham Forest,1
9,20,Brennan Johnson,6-Agosto-2022,Nott'ham Forest,1
10,26,Scott McKenna,6-Agosto-2022,Nott'ham Forest,1
11,Banquillo,Banquillo,6-Agosto-2022,Nott'ham Forest,0
12,13,Wayne Hennessey,6-Agosto-2022,Nott'ham Forest,0
13,2,Giulian Biancone,6-Agosto-2022,Nott'ham Forest,0
14,5,Orel Mangala,6-Agosto-2022,Nott'ham Forest,0
15,6,Loïc Mbe Soh,6-Agosto-2022,Nott'ham Forest,0
16,9,Taiwo Awoniyi,6-Agosto-2022,Nott'ham Forest,0
17,17,Alexander Mighten,6-Agosto-2022,Nott'ham Forest,0
18,18,Cafú,6-Agosto-2022,Nott'ham Forest,0
19,33,Lyle Taylor,6-Agosto-2022,Nott'ham Forest,0
20,41,Oliver Hammond,6-Agosto-2022,Nott'ham Forest,0
21,1,Dean Henderson,14-Agosto-2022,Nott'ham Forest,1
22,4,Joe Worrall,14-Agosto-2022,Nott'ham Forest,1
23,5,Orel Mangala,14-Agosto-2022,Nott'ham Forest,1
24,7,Neco Williams,14-Agosto-2022,Nott'ham Forest,1
25,9,Taiwo Awoniyi,14-Agosto-2022,Nott'ham Forest,1
26,11,Jesse Lingard,14-Agosto-2022,Nott'ham Forest,1
27,14,Lewis O'Brien,14-Agosto-2022,Nott'ham Forest,1
28,15,Harry Toffolo,14-Agosto-2022,Nott'ham Forest,1
29,19,Moussa Niakhate,14-Agosto-2022,Nott'ham Forest,1
30,20,Brennan Johnson,14-Agosto-2022,Nott'ham Forest,1
31,26,Scott McKenna,14-Agosto-2022,Nott'ham Forest,1
32,Banquillo,Banquillo,14-Agosto-2022,Nott'ham Forest,0
33,13,Wayne Hennessey,14-Agosto-2022,Nott'ham Forest,0
34,2,Giulian Biancone,14-Agosto-2022,Nott'ham Forest,0
35,3,Steve Cook,14-Agosto-2022,Nott'ham Forest,0
36,6,Loïc Mbe Soh,14-Agosto-2022,Nott'ham Forest,0
37,16,Sam Surridge,14-Agosto-2022,Nott'ham Forest,0
38,17,Alexander Mighten,14-Agosto-2022,Nott'ham Forest,0
39,18,Cafú,14-Agosto-2022,Nott'ham Forest,0
40,33,Lyle Taylor,14-Agosto-2022,Nott'ham Forest,0
41,41,Oliver Hammond,14-Agosto-2022,Nott'ham Forest,0
42,1,Dean Henderson,3-Septiembre-2022,Nott'ham Forest,1
43,3,Steve Cook,3-Septiembre-2022,Nott'ham Forest,1
44,4,Joe Worrall,3-Septiembre-2022,Nott'ham Forest,1
45,7,Neco Williams,3-Septiembre-2022,Nott'ham Forest,1
46,10,Morgan Gibbs-White,3-Septiembre-2022,Nott'ham Forest,1
