,name,date,team,opponent,min,g,ass,tp,tpint,dis,dap,ta,tr,toques,tkl,interceps,blocks,xg,npxg,xag,act,acg,cmp,int_pass,po_cmp,prog,reg_success,reg_int
0,Aaron Connolly,2020-09-14,Brighton,Chelsea,46.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,2.0,2.0,100.0,1.0,0.0,2.0
1,Aaron Connolly,2020-09-20,Brighton,Newcastle Utd,89.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,20.0,1.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,10.0,13.0,76.9,2.0,1.0,2.0
2,Aaron Connolly,2020-09-26,Brighton,Manchester Utd,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,7.0,85.7,0.0,0.0,0.0
3,Aaron Connolly,2020-10-03,Brighton,Everton,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,20.0,0.0,0.0,1.0
4,Aaron Connolly,2020-10-18,Brighton,Crystal Palace,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0
5,Aaron Connolly,2020-11-06,Brighton,Burnley,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
6,Aaron Connolly,2020-11-28,Brighton,Liverpool,62.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.4,0.4,0.0,3.0,0.0,10.0,10.0,100.0,1.0,1.0,2.0
7,Aaron Connolly,2020-12-07,Brighton,Southampton,63.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.5,0.5,0.0,3.0,1.0,7.0,12.0,58.3,1.0,0.0,0.0
8,Aaron Connolly,2020-12-13,Brighton,Leicester City,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0
9,Aaron Connolly,2020-12-20,Brighton,Sheffield Utd,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,18.0,1.0,0.0,1.0,0.6,0.6,0.0,2.0,0.0,10.0,10.0,100.0,0.0,0.0,1.0
10,Aaron Connolly,2021-01-02,Brighton,Wolves,45.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0
11,Aaron Connolly,2021-01-31,Brighton,Tottenham,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0
12,Aaron Connolly,2021-02-03,Brighton,Liverpool,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0
13,Aaron Connolly,2021-02-06,Brighton,Burnley,61.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,5.0,7.0,71.4,0.0,0.0,0.0
14,Aaron Connolly,2021-02-27,Brighton,West Brom,60.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.7,0.7,0.0,1.0,0.0,3.0,4.0,75.0,0.0,0.0,0.0
15,Aaron Connolly,2021-04-24,Brighton,Sheffield Utd,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,2.0,2.0
16,Aaron Connolly,2021-05-23,Brighton,Arsenal,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,6.0,7.0,85.7,0.0,1.0,1.0
17,Aaron Connolly,2021-08-21,Brighton,Watford,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.3,0.3,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0
18,Aaron Connolly,2021-09-27,Brighton,Crystal Palace,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,0.0,1.0
19,Aaron Connolly,2021-12-04,Brighton,Southampton,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.2,1.0,0.0,5.0,6.0,83.3,1.0,0.0,0.0
20,Aaron Connolly,2021-12-15,Brighton,Wolves,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,87.5,0.0,0.0,1.0
21,Aaron Cresswell,2020-09-12,West Ham,Newcastle Utd,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,45.0,63.0,71.4,2.0,0.0,0.0
22,Aaron Cresswell,2020-09-19,West Ham,Arsenal,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1.0,0.0,1.0,0.0,0.0,0.1,3.0,0.0,64.0,80.0,80.0,3.0,0.0,0.0
23,Aaron Cresswell,2020-09-27,West Ham,Wolves,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,1.0,2.0,0.0,0.0,0.4,6.0,0.0,38.0,44.0,86.4,1.0,0.0,0.0
24,Aaron Cresswell,2020-10-04,West Ham,Leicester City,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,2.0,1.0,0.0,0.0,0.6,5.0,2.0,35.0,47.0,74.5,2.0,0.0,0.0
